Title,URL,Rating,Reviews,Duration,Instructor,MainType,Subtype
iOS & Swift - The Complete iOS App Development Bootcamp,https://www.udemy.com/course/ios-13-app-development-bootcamp/,4.6,"-93,409",60.5 total hours,"Dr. Angela Yu, Developer and Lead Instructor",development,mobile-apps
Flutter & Dart - The Complete Guide [2025 Edition],https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/,4.6,"-82,926",30 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",development,mobile-apps
The Complete Flutter Development Bootcamp with Dart,https://www.udemy.com/course/flutter-bootcamp-with-dart/,4.6,"-56,073",29 total hours,"Dr. Angela Yu, Developer and Lead Instructor",development,mobile-apps
The Complete React Native + Hooks Course,https://www.udemy.com/course/the-complete-react-native-and-redux-course/,4.6,"-45,004",38.5 total hours,Stephen Grider,development,mobile-apps
React Native - The Practical Guide [2025],https://www.udemy.com/course/react-native-the-practical-guide/,4.7,"-42,361",28.5 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",development,mobile-apps
The Complete Android N Developer Course,https://www.udemy.com/course/complete-android-n-developer-course/,4,"-28,632",32.5 total hours,"Rob Percival, Marc Stock, Codestars • over 2 million students worldwide!",development,mobile-apps
The Complete Android Oreo Developer Course - Build 23 Apps!,https://www.udemy.com/course/the-complete-android-oreo-developer-course/,4.1,"-17,692",37.5 total hours,"Rob Percival, Nick Walter, Codestars • over 2 million students worldwide!",development,mobile-apps
The Complete Android 14 & Kotlin Development Masterclass,https://www.udemy.com/course/android-kotlin-developer/,4.5,"-17,467",66.5 total hours,"Denis Panjuta, Tutorials.eu by Denis Panjuta",development,mobile-apps
"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",https://www.udemy.com/course/ionic-2-the-practical-guide-to-building-ios-android-apps/,4.6,"-16,894",20.5 total hours,Maximilian Schwarzmüller,development,mobile-apps
iOS 10 & Swift 3: From Beginner to Paid Professional™,https://www.udemy.com/course/devslopes-ios10/,4.2,"-13,683",71 total hours,"Mark Price, Devslopes by Nathan Sevedge",development,mobile-apps
The Complete iOS 10 & Swift 3 Developer Course,https://www.udemy.com/course/complete-ios-10-developer-course/,4.5,"-10,833",30 total hours,"Rob Percival, Codestars • over 2 million students worldwide!",development,mobile-apps
Android Java Masterclass - Become an App Developer,https://www.udemy.com/course/master-android-7-nougat-java-app-development-step-by-step/,4.1,"-10,676",60.5 total hours,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",development,mobile-apps
Xamarin Forms: Build Native Cross-platform Apps with C#,https://www.udemy.com/course/xamarin-forms-course/,4.3,"-9,958",7.5 total hours,Mosh Hamedani,development,mobile-apps
SwiftUI Masterclass 2025 – iOS App Development & SwiftData,https://www.udemy.com/course/swiftui-masterclass-course-ios-development-with-swift/,4.4,"-7,123",36 total hours,Robert Petras • 44K+ Students • SwiftUI and SwiftData Courses,development,mobile-apps
Android App Development Masterclass using Kotlin,https://www.udemy.com/course/android-oreo-kotlin-app-masterclass/,4.3,"-6,073",62 total hours,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy, David Reidy",development,mobile-apps
The Complete Android 15 Course [Part 1]-Master Java & Kotlin,https://www.udemy.com/course/the-complete-android-10-developer-course-mastering-android/,4.3,"-5,932",76.5 total hours,Abbass Masri - Doc. Ali Alaeddine,development,mobile-apps
"Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2025]",https://www.udemy.com/course/machinelearning/,4.5,"-1,94,117",42.5 total hours,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency Team",development,data-science
The Data Science Course: Complete Data Science Bootcamp 2025,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,4.6,"-1,49,755",32 total hours,365 Careers,development,data-science
Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,4.6,"-1,48,983",25 total hours,"Jose Portilla, Pierian Training",development,data-science
R Programming A-Z™: R For Data Science With Real Exercises!,https://www.udemy.com/course/r-programming/,4.6,"-55,411",10.5 total hours,"Kirill Eremenko, SuperDataScience Team, Ligency Team",development,data-science
"Deep Learning A-Z 2025: Neural Networks, AI & ChatGPT Prize",https://www.udemy.com/course/deeplearning/,4.6,"-47,502",22.5 total hours,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency Team",development,data-science
Statistics for Data Science and Business Analysis,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,4.5,"-46,409",5 total hours,365 Careers,development,data-science
Artificial Intelligence A-Z 2025: Build 7 AI + LLM & ChatGPT,https://www.udemy.com/course/artificial-intelligence-az/,4.4,"-44,032",15.5 total hours,"Hadelin de Ponteves, Kirill Eremenko, SuperDataScience Team, Luka Anicin, Ligency Team",development,data-science
Data Science A-Z: Hands-On Exercises & ChatGPT Prize [2025],https://www.udemy.com/course/datascience/,4.5,"-34,407",21 total hours,"Kirill Eremenko, SuperDataScience Team, Ligency Team",development,data-science
"Machine Learning, Data Science and Generative AI with Python",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,4.5,"-34,204",20.5 total hours,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team",development,data-science
Python A-Z™: Python For Data Science With Real Exercises!,https://www.udemy.com/course/python-coding/,4.5,"-29,272",11 total hours,"Kirill Eremenko, SuperDataScience Team, Ligency Team",development,data-science
"Complete A.I. & Machine Learning, Data Science Bootcamp",https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,4.6,"-25,589",44 total hours,"Andrei Neagoie, Daniel Bourke",development,data-science
Spark and Python for Big Data with PySpark,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,4.5,"-25,085",10.5 total hours,"Jose Portilla, Pierian Training",development,data-science
LangChain- Develop LLM powered applications with LangChain,https://www.udemy.com/course/langchain/,4.6,"-24,646",10 total hours,Eden Marco | LLM Specialist,development,data-science
Machine Learning for Absolute Beginners - Level 1,https://www.udemy.com/course/machine-learning-for-absolute-beginners-level-1/,4.5,"-24,041",4.5 total hours,Idan Gabrieli,development,data-science
Data Analysis with Pandas and Python,https://www.udemy.com/course/data-analysis-with-pandas/,4.7,"-23,781",19.5 total hours,Boris Paskhaver,development,data-science
NLP - Natural Language Processing with Python,https://www.udemy.com/course/nlp-natural-language-processing-with-python/,4.5,"-18,483",11.5 total hours,"Jose Portilla, Pierian Training",development,data-science
Complete C# Unity Game Developer 2D,https://www.udemy.com/course/unitycourse/,4.6,"-1,05,330",18.5 total hours,"GameDev.tv Team, Rick Davidson, Gary Pettie",development,game-development
Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,https://www.udemy.com/course/unrealcourse/,4.7,"-71,800",29.5 total hours,"Ben Tristem, GameDev.tv Team",development,game-development
Complete C# Unity Game Developer 3D (Updated To Unity 6),https://www.udemy.com/course/unitycourse2/,4.7,"-44,357",57.5 total hours,"Rick Davidson, GameDev.tv Team, Stephen Hubbard",development,game-development
The Ultimate Guide to Game Development with Unity (Official),https://www.udemy.com/course/the-ultimate-guide-to-game-development-with-unity/,4.5,"-20,363",36.5 total hours,"Jonathan Weinberger, Unity Technologies, GameDevHQ Team, Thomas Kesler",development,game-development
Unreal Engine 5 for Games: Beginner’s Course,https://www.udemy.com/course/unreal-engine-5-the-complete-beginners-course/,4.6,"-12,428",10.5 total hours,David Nixon,development,game-development
RPG Core Combat Creator: Learn Intermediate Unity C# Coding,https://www.udemy.com/course/unityrpg/,4.8,"-11,184",27.5 total hours,"Ben Tristem, Rick Davidson, GameDev.tv Team",development,game-development
Unreal Engine 4: How to Develop Your First Two Games,https://www.udemy.com/course/unreale4/,4.5,"-11,094",15.5 total hours,"Christopher Murphy, Epic Games",development,game-development
Blender Character Creator for Video Games (Updated to 4.2),https://www.udemy.com/course/blendercharacters/,4.8,"-8,205",34.5 total hours,"GameDev.tv Team, Rick Davidson, Grant Abbitt",development,game-development
Unreal Engine Blueprint Game Developer,https://www.udemy.com/course/unrealblueprint/,4.7,"-7,761",10.5 total hours,"Ben Tristem, GameDev.tv Team",development,game-development
Unreal Engine 5 C++ The Ultimate Game Developer Course,https://www.udemy.com/course/unreal-engine-5-the-ultimate-game-developer-course/,4.8,"-7,131",53 total hours,Stephen Ulibarri,development,game-development
Unity Game Development Build 2D & 3D Games,https://www.udemy.com/course/devslopes-unity3d/,4.3,"-5,437",35.5 total hours,"Mark Price, Devslopes by Nathan Sevedge",development,game-development
Learn To Create An RPG Game In Unity,https://www.udemy.com/course/unity2drpg/,4.6,"-4,497",18 total hours,James Doyle,development,game-development
Master Unity By Building 6 Fully Featured Games From Scratch,https://www.udemy.com/course/make-mobile-games-like-a-pro-using-unity-game-engine/,4.1,"-4,393",35.5 total hours,Awesome Tuts,development,game-development
Develop Minecraft Plugins (Java),https://www.udemy.com/course/develop-minecraft-plugins-java-programming/,4.7,"-4,130",34.5 total hours,Stephen King,development,game-development
Unreal Engine 4 C++ The Ultimate Game Developer Course,https://www.udemy.com/course/unreal-engine-the-ultimate-game-developer-course/,4.5,"-3,741",34.5 total hours,Stephen Ulibarri,development,game-development
Shader Development from Scratch for (Unity 6 Compatible),https://www.udemy.com/course/unity-shaders/,4.6,"-3,412",10.5 total hours,"Penny de Byl, Penny Holistic3D",development,game-development
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,4.6,"-99,908",22 total hours,Colt Steele,development,databases
SQL for Beginners: Learn SQL using MySQL and Database Design,https://www.udemy.com/course/sql-for-beginners-course/,4.6,"-58,768",8.5 total hours,"Tim Buchalka's Learn Programming Academy, Tim Buchalka, Jean-Paul Roberts",development,databases
Apache Kafka Series - Learn Apache Kafka for Beginners v3,https://www.udemy.com/course/apache-kafka/,4.5,"-47,695",8.5 total hours,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Conduktor Kafkademy",development,databases
Relational Database Design,https://www.udemy.com/course/relational-database-design/,4.4,"-36,709",1.5 total hours,Ben Brumm,development,databases
MongoDB - The Complete Developer's Guide 2025,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,4.6,"-26,235",17.5 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",development,databases
The Agile Samurai Bootcamp,https://www.udemy.com/course/the-agile-samurai-bootcamp/,4.4,"-25,745",3 total hours,Jonathan Rasmusson,development,databases
The Complete Oracle SQL Bootcamp (2025),https://www.udemy.com/course/oracle-sql-12c-become-an-sql-developer-with-subtitle/,4.6,"-22,527",38.5 total hours,"Database Masters Training | 250,000+ Students Worldwide, Code Star Academy",development,databases
"The Complete PL/SQL Bootcamp : ""Beginner to Advanced PL/SQL""",https://www.udemy.com/course/plsql-beginner-to-advanced-become-a-perfect-plsql-developer/,4.5,"-17,216",26.5 total hours,"Database Masters Training | 250,000+ Students Worldwide, Code Star Academy",development,databases
Data Integration Fundamentals,https://www.udemy.com/course/data-integration-fundamentals/,4.5,"-11,733",4 total hours,John Berry,development,databases
SQL and PostgreSQL: The Complete Developer's Guide,https://www.udemy.com/course/sql-and-postgresql/,4.7,"-10,728",22 total hours,Stephen Grider,development,databases
Fundamentals of Database Engineering,https://www.udemy.com/course/database-engines-crash-course/,4.7,"-9,723",28 total hours,Hussein Nasser,development,databases
SQL for Data Analysis: Beginner MySQL Business Intelligence,https://www.udemy.com/course/mysql-for-data-analysis/,4.6,"-9,577",4.5 total hours,"Maven Analytics, John Pauler",development,databases
SQL - Introduction to SQL with MySQL,https://www.udemy.com/course/sql-introduction-to-mysql/,4.7,"-9,551",3 total hours,"Kyle Pew, Office Newb",development,databases
Oracle Database SQL Certified Associate 1Z0-071,https://www.udemy.com/course/oracle-database-12c-sql-certified-associate-1z0-071/,4.6,"-8,308",20 total hours,Khaled Alkhudari,development,databases
Complete Elasticsearch Masterclass with Logstash and Kibana,https://www.udemy.com/course/complete-elasticsearch-masterclass-with-kibana-and-logstash/,4.6,"-8,163",6 total hours,Job Ready Programmer,development,databases
Mastering SQL Server 2016 Integration Services (SSIS)-Part 1,https://www.udemy.com/course/masteringssis2016/,4.5,"-7,835",11 total hours,Kameswara Sarma Uppuluri | 25+ Years Of Experienced Corporate Trainer,development,databases
The Complete Python Bootcamp From Zero to Hero in Python,https://www.udemy.com/course/complete-python-bootcamp/,4.6,"-5,29,063",22 total hours,"Jose Portilla, Pierian Training",development,programming-languages
100 Days of Code: The Complete Python Pro Bootcamp,https://www.udemy.com/course/100-days-of-code/,4.7,"-3,51,414",56.5 total hours,"Dr. Angela Yu, Developer and Lead Instructor",development,programming-languages
"React - The Complete Guide 2025 (incl. Next.js, Redux)",https://www.udemy.com/course/react-the-complete-guide-incl-redux/,4.6,"-2,24,880",71.5 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",development,programming-languages
Java Masterclass 2025: 130+ Hours of Expert Lessons,https://www.udemy.com/course/java-the-complete-java-developer-course/,4.6,"-2,04,186",135.5 total hours,"Tim Buchalka, Tim Buchalka's Learn Programming Academy, Edwin Einsen Vásquez Velásquez, Igor Popovic, Eddie Chiang",development,programming-languages
Automate the Boring Stuff with Python Programming,https://www.udemy.com/course/automate/,4.6,"-1,15,455",9.5 total hours,Al Sweigart,development,programming-languages
Learn Python Programming Masterclass,https://www.udemy.com/course/python-the-complete-python-developer-course/,4.6,"-1,03,763",61.5 total hours,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",development,programming-languages
"[NEW] Spring Boot 3, Spring 6 & Hibernate for Beginners",https://www.udemy.com/course/spring-hibernate-tutorial/,4.6,"-87,498",34 total hours,Chad Darby,development,programming-languages
Beginning C++ Programming - From Beginner to Beyond,https://www.udemy.com/course/beginning-c-plus-plus-programming/,4.6,"-74,596",46 total hours,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",development,programming-languages
C# Basics for Beginners: Learn C# Fundamentals by Coding,https://www.udemy.com/course/csharp-tutorial-for-beginners/,4.5,"-73,734",5.5 total hours,Mosh Hamedani,development,programming-languages
The Complete Node.js Developer Course (3rd Edition),https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,4.4,"-72,714",35 total hours,"Andrew Mead, Rob Percival",development,programming-languages
"Python Mega Course: Learn Python in 60 Days, Build 20 Apps",https://www.udemy.com/course/the-python-mega-course/,4.6,"-69,459",52.5 total hours,Ardit Sulce,development,programming-languages
The Complete Python Developer,https://www.udemy.com/course/complete-python-developer-zero-to-mastery/,4.6,"-57,771",31 total hours,Andrei Neagoie,development,programming-languages
The Python Bible™ | Everything You Need to Program in Python,https://www.udemy.com/course/the-python-bible/,4.6,"-55,745",9 total hours,"Ziyad Yehia, Internet of Things Academy",development,programming-languages
"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",https://www.udemy.com/course/nodejs-the-complete-guide/,4.6,"-50,882",40.5 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",development,programming-languages
Python for Beginners: Learn Python Programming (Python 3),https://www.udemy.com/course/python-programming-projects/,4.4,"-49,834",3 total hours,Jason Cannon,development,programming-languages
Java Programming for Complete Beginners,https://www.udemy.com/course/java-programming-tutorial-for-beginners/,4.6,"-48,685",42 total hours,in28Minutes Official,development,programming-languages
Selenium WebDriver with Java -Basics to Advanced+Frameworks,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,4.6,"-1,27,220",55.5 total hours,Rahul Shetty,development,software-testing
Rest API Testing (Automation) from Scratch-Rest Assured Java,https://www.udemy.com/course/rest-api-automation-testing-rest-assured/,4.6,"-41,315",24.5 total hours,Rahul Shetty,development,software-testing
ISTQB Foundation Level (CTFL) V4.0 + Practice Exams - 2024,https://www.udemy.com/course/certified-tester-foundation-level-ctfl/,4.5,"-38,104",13.5 total hours,Maged Koshty,development,software-testing
The Complete 2025 Software Testing Bootcamp,https://www.udemy.com/course/testerbootcamp/,4.5,"-33,164",37 total hours,"Tarek Roshdy, Nezam Academy, Nezam Team",development,software-testing
MasterClass Software Testing with Jira & Agile -Be a QA Lead,https://www.udemy.com/course/learn-software-testing-in-practical-become-a-qa-expert/,4.5,"-22,564",10.5 total hours,Rahul Shetty,development,software-testing
Learn JMETER from Scratch on Live Apps -Performance Testing,https://www.udemy.com/course/learn-jmeter-from-scratch-performance-load-testing-tool/,4.5,"-21,709",8.5 total hours,Rahul Shetty,development,software-testing
Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,https://www.udemy.com/course/mobile-automation-using-appiumselenium-3/,4.6,"-21,597",26 total hours,Rahul Shetty,development,software-testing
Selenium Webdriver with PYTHON from Scratch + Frameworks,https://www.udemy.com/course/learn-selenium-automation-in-easy-python-language/,4.6,"-21,353",17.5 total hours,Rahul Shetty,development,software-testing
Postman: The Complete Guide - REST API Testing,https://www.udemy.com/course/postman-the-complete-guide/,4.7,"-20,231",21.5 total hours,"Valentin Despa, Valentin Despa - Support",development,software-testing
Quick Introduction to Postman and API Testing for Beginners,https://www.udemy.com/course/postman-crash-course-for-beginners-learn-rest-api-testing/,4.6,"-18,440",3 total hours,"Valentin Despa, Valentin Despa - Support",development,software-testing
Selenium 4 WebDriver with Java (Basics to ARCHITECT Level),https://www.udemy.com/course/selenium-training/,4.3,"-17,800",143.5 total hours,Rahul Arora,development,software-testing
Cypress -Modern Automation Testing from Scratch + Frameworks,https://www.udemy.com/course/cypress-tutorial/,4.6,"-17,440",18.5 total hours,Rahul Shetty,development,software-testing
WebServices/Rest API Testing with SoapUI +Real time Projects,https://www.udemy.com/course/webservices-testing-with-soap-ui/,4.5,"-17,378",12.5 total hours,Rahul Shetty,development,software-testing
Selenium WebDriver: Selenium Automation Testing with Java,https://www.udemy.com/course/selenium-for-beginners/,4.7,"-17,070",15 total hours,Dmitry Shyshkin,development,software-testing
ISTQB Foundation Level V4.0 Complete Training,https://www.udemy.com/course/foundation-level-training/,4.5,"-14,798",26.5 total hours,"Tarek Roshdy, Nezam Academy, Nezam Team",development,software-testing
Learn Cucumber BDD with Java -MasterClass Selenium Framework,https://www.udemy.com/course/cucumber-tutorial/,4.5,"-14,009",12 total hours,Rahul Shetty,development,software-testing
Mastering Data Structures & Algorithms using C and C++,https://www.udemy.com/course/datastructurescncpp/,4.6,"-52,963",58.5 total hours,Abdul Bari,development,software-engineering
Master the Coding Interview: Data Structures + Algorithms,https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/,4.7,"-37,981",20 total hours,Andrei Neagoie,development,software-engineering
Kubernetes Certified Application Developer (CKAD) with Tests,https://www.udemy.com/course/certified-kubernetes-application-developer/,4.7,"-35,010",15.5 total hours,"Mumshad Mannambeth, KodeKloud Training, Vijin Palazhi",development,software-engineering
Java Spring Framework 6 with Spring Boot 3,https://www.udemy.com/course/spring-5-with-spring-boot-2/,4.6,"-25,984",48 total hours,"Navin Reddy, Telusko",development,software-engineering
Complete Guide to Elasticsearch,https://www.udemy.com/course/elasticsearch-complete-guide/,4.6,"-23,699",13 total hours,Bo Andersen,development,software-engineering
Clean Code,https://www.udemy.com/course/writing-clean-code/,4.6,"-22,675",6.5 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",development,software-engineering
SOLID Principles: Introducing Software Architecture & Design,https://www.udemy.com/course/solid-design/,4.5,"-20,630",2 total hours,George S,development,software-engineering
Core Java Made Easy (Covers the latest Java 18),https://www.udemy.com/course/corejavamadeeasy/,4.5,"-17,475",28.5 total hours,Bharath Thippireddy,development,software-engineering
Microservices: Designing Highly Scalable Systems,https://www.udemy.com/course/introduction-to-microservices/,4.5,"-15,354",1.5 total hours,Sean Campbell,development,software-engineering
GitHub Ultimate: Master Git and GitHub - Beginner to Expert,https://www.udemy.com/course/github-ultimate/,4.4,"-12,648",6.5 total hours,"Jason Taylor, John Myers",development,software-engineering
"Java Multithreading, Concurrency & Performance Optimization",https://www.udemy.com/course/java-multithreading-concurrency-performance-optimization/,4.7,"-12,429",5.5 total hours,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",development,software-engineering
Software Engineering 101: Plan and Execute Better Software.,https://www.udemy.com/course/software-engineering-101/,4.5,"-11,664",8.5 total hours,Kurt Anderson,development,software-engineering
The Complete Hands-On Introduction to Apache Airflow,https://www.udemy.com/course/the-complete-hands-on-course-to-master-apache-airflow/,4.5,"-11,557",4 total hours,Marc Lamberti,development,software-engineering
Software Architecture & Design of Modern Large Scale Systems,https://www.udemy.com/course/software-architecture-design-of-modern-large-scale-systems/,4.7,"-10,553",7 total hours,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",development,software-engineering
Microservices Software Architecture: Patterns and Techniques,https://www.udemy.com/course/microservices-software-architecture-patterns-and-techniques/,3.8,"-9,763",1 total hour,Binary Brain,development,software-engineering
Java Data Structures & Algorithms + LEETCODE Exercises,https://www.udemy.com/course/data-structures-and-algorithms-java/,4.7,"-9,510",10 total hours,Scott Barrett,development,software-engineering
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,https://www.udemy.com/course/docker-mastery/,4.6,"-64,336",21.5 total hours,"Bret Fisher, Docker Captain Program",development,development-tools
Docker and Kubernetes: The Complete Guide,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,4.7,"-60,015",22 total hours,Stephen Grider,development,development-tools
The Complete Prompt Engineering for AI Bootcamp (2025),https://www.udemy.com/course/prompt-engineering-for-ai/,4.5,"-59,057",22.5 total hours,"Mike Taylor, James Phoenix",development,development-tools
Introduction to OpenAI API & ChatGPT API for Developers,https://www.udemy.com/course/introduction-to-openai-api-chatgpt-api-chatgpt-plugins/,4.5,"-49,948",3 total hours,"Valentin Despa, Valentin Despa - Support",development,development-tools
"DevOps, CI/CD(Continuous Integration/Delivery) for Beginners",https://www.udemy.com/course/ci-cd-devops/,4.6,"-45,619",1 total hour,John Honai,development,development-tools
Learn Jira with real-world examples 2024 (+Confluence bonus),https://www.udemy.com/course/the-complete-guide-to-jira-with-real-world-examples/,4.6,"-39,085",10.5 total hours,Kosh Sarkar (Atlassian Certified Trainer),development,development-tools
The Git & Github Bootcamp,https://www.udemy.com/course/git-and-github-bootcamp/,4.7,"-35,074",17 total hours,Colt Steele,development,development-tools
Alteryx Bootcamp,https://www.udemy.com/course/alteryx-bootcamp/,4.6,"-34,489",6.5 total hours,Hendrik Kleine,development,development-tools
"Git Complete: The definitive, step-by-step guide to Git",https://www.udemy.com/course/git-complete/,4.5,"-32,426",6.5 total hours,"Jason Taylor, John Myers",development,development-tools
GitHub Copilot Beginner to Pro - AI for Coding & Development,https://www.udemy.com/course/github-copilot/,4.6,"-26,842",6 total hours,"Tom Phillips, WebDevEducation (Tom Phillips)",development,development-tools
Git Going Fast: One Hour Git Crash Course,https://www.udemy.com/course/git-going-fast/,4.4,"-24,893",1.5 total hours,"Jason Taylor, John Myers",development,development-tools
"Understanding Jira for users, managers and admins",https://www.udemy.com/course/introduction-to-jira/,4.6,"-24,761",7 total hours,Dan LeFebvre,development,development-tools
"GitLab CI/CD: Pipelines, CI/CD and DevOps for Beginners",https://www.udemy.com/course/gitlab-ci-pipelines-ci-cd-and-devops-for-beginners/,4.6,"-20,145",8 total hours,"Valentin Despa, Valentin Despa - Support",development,development-tools
"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",https://www.udemy.com/course/jenkins-from-zero-to-hero/,4.4,"-18,115",10.5 total hours,Ricardo Andre Gonzalez Gomez,development,development-tools
Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,https://www.udemy.com/course/learn-devops-ci-cd-with-jenkins-using-pipelines-and-docker/,4.3,"-16,681",4.5 total hours,Edward Viaene,development,development-tools
AWS Infrastructure as Code With Terraform [2024 Updates],https://www.udemy.com/course/learn-devops-infrastructure-automation-with-terraform/,4.4,"-15,554",12.5 total hours,Edward Viaene,development,development-tools
"Build Solutions with Power Apps, Power Automate & SharePoint",https://www.udemy.com/course/build-solutions-with-power-platform/,4.6,"-5,414",22 total hours,Henry Habib,development,no-code-development
WordPress 2025: The Complete WordPress Website Course,https://www.udemy.com/course/complete-wp-course/,4.7,"-5,344",65 total hours,Tanzeel Ur Rehman,development,no-code-development
Mastering Microsoft Power Apps 2025: From Zero to Hero,https://www.udemy.com/course/mastering-microsoft-power-apps/,4.6,"-4,291",21.5 total hours,Fabian Ackeret,development,no-code-development
How To Make a Wordpress Website -Elementor Page Builder,https://www.udemy.com/course/how-to-make-a-wordpress-website-2017-elementor-builder/,4.2,"-3,492",1.5 total hours,Darrel Wilson,development,no-code-development
ChatGPT Unleashed: The Complete ChatGPT Course 2024,https://www.udemy.com/course/chatgpt-unleashed-master-gpt-4-prompt-engineering/,4.5,"-2,871",8 total hours,Frank Andrade,development,no-code-development
